"fips","county","noticeBoard","website","feeds","directoryEvidence","reviewedAt","result"
"48077","Clay","https://www.claycountytx.net/legal-notice","https://www.claycountytx.net/","","https://www.county.org/content-library/maps/counties/clay-county","2026-09-11T18:48:03.367053+00:00","Reviewed"
"48079","Cochran","https://www.co.cochran.tx.us/page/cochran.PublicNotices","https://www.co.cochran.tx.us/","https://newtools.cira.state.tx.us/page/calrss/4972/0/calendar.rss","https://www.county.org/content-library/maps/counties/cochran-county","2026-09-11T18:48:03.779242+00:00","Reviewed"
"48081","Coke","https://www.co.coke.tx.us/page/coke.Public.Notices","https://www.co.coke.tx.us/","","https://www.county.org/content-library/maps/counties/coke-county","2026-09-11T18:48:04.671829+00:00","Reviewed"
"48083","Coleman","https://www.colemancounty.gov/page/Public.Notices","https://www.colemancounty.gov/","https://www.colemancounty.gov/page/calrss/1147/0/calendar.rss","https://www.county.org/content-library/maps/counties/coleman-county","2026-09-11T18:48:05.444712+00:00","Reviewed"
"48085","Collin","","https://www.collincountytx.gov/","","https://www.county.org/content-library/maps/counties/collin-county","2026-09-11T18:48:05.458141+00:00","Reviewed"
"48087","Collingsworth","https://www.co.collingsworth.tx.us/page/collingsworth.Public.Notices","https://www.co.collingsworth.tx.us/","https://newtools.cira.state.tx.us/page/calrss/30971/0/calendar.rss","https://www.county.org/content-library/maps/counties/collingsworth-county","2026-09-11T18:48:05.610526+00:00","Reviewed"
"48089","Colorado","","https://www.co.colorado.tx.us/","","https://www.county.org/content-library/maps/counties/colorado-county","2026-09-11T18:48:06.246425+00:00","Reviewed"
"48091","Comal","","https://www.comalcounty.gov/","","https://www.county.org/content-library/maps/counties/comal-county","2026-09-11T18:48:07.142212+00:00","Reviewed"
"48093","Comanche","","https://www.comanchecountytx.gov/","","https://www.county.org/content-library/maps/counties/comanche-county","2026-09-11T18:48:07.224755+00:00","Reviewed"
"48095","Concho","","https://www.co.concho.tx.us/","","https://www.county.org/content-library/maps/counties/concho-county","2026-09-11T18:48:07.265095+00:00","Reviewed"
"48097","Cooke","","https://www.co.cooke.tx.us/","","https://www.county.org/content-library/maps/counties/cooke-county","2026-09-11T18:48:07.475222+00:00","Reviewed"
"48099","Coryell","","https://www.coryellcounty.org/","","https://www.county.org/content-library/maps/counties/coryell-county","2026-09-11T18:48:08.672679+00:00","Reviewed"
"48101","Cottle","https://www.cottlecountytx.gov/page/Public.Notices","https://www.cottlecountytx.gov/","https://www.cottlecountytx.gov/page/calrss/1242/0/calendar.rss","https://www.county.org/content-library/maps/counties/cottle-county","2026-09-11T18:48:08.746794+00:00","Reviewed"
"48103","Crane","https://www.co.crane.tx.us/page/crane.Public.Notices.Calendar","https://www.co.crane.tx.us/","https://newtools.cira.state.tx.us/page/calrss/2159/0/calendar.rss","https://www.county.org/content-library/maps/counties/crane-county","2026-09-11T18:48:09.351792+00:00","Reviewed"
"48105","Crockett","https://www.co.crockett.tx.us/page/crockett.PublicNotices","https://www.co.crockett.tx.us/","https://newtools.cira.state.tx.us/page/calrss/66903/0/calendar.rss","https://www.county.org/content-library/maps/counties/crockett-county","2026-09-11T18:48:09.355777+00:00","Reviewed"
"48107","Crosby","https://www.co.crosby.tx.us/page/crosby.Public.Notices","https://www.co.crosby.tx.us/","","https://www.county.org/content-library/maps/counties/crosby-county","2026-09-11T18:48:10.060817+00:00","Reviewed"
"48109","Culberson","https://www.co.culberson.tx.us/page/PublicNotices","https://www.co.culberson.tx.us/","https://www.co.culberson.tx.us/page/calrss/1640/0/calendar.rss","https://www.county.org/content-library/maps/counties/culberson-county","2026-09-11T18:48:10.799697+00:00","Reviewed"
"48111","Dallam","","","","https://www.county.org/content-library/maps/counties/dallam-county","2026-09-11T18:48:10.850831+00:00","Reviewed"
"48113","Dallas","https://www.dallascounty.org/government/county-clerk/administration/official-and-legal-notices.php","https://www.dallascounty.org/","","https://www.county.org/content-library/maps/counties/dallas-county","2026-09-11T18:48:11.020641+00:00","Reviewed"
"48115","Dawson","https://www.co.dawson.tx.us/page/dawson.Public.Notices","https://www.co.dawson.tx.us/","https://newtools.cira.state.tx.us/page/calrss/5201/0/calendar.rss","https://www.county.org/content-library/maps/counties/dawson-county","2026-09-11T18:48:11.531019+00:00","Reviewed"
"48117","Deaf Smith","https://www.co.deaf-smith.tx.us/page/deafsmith.Public.Notices","https://www.co.deaf-smith.tx.us/","https://newtools.cira.state.tx.us/page/calrss/27695/0/calendar.rss","https://www.county.org/content-library/maps/counties/deaf-smith-county","2026-09-11T18:48:12.348694+00:00","Reviewed"
"48119","Delta","","https://www.deltacountytx.com/","","https://www.county.org/content-library/maps/counties/delta-county","2026-09-11T18:48:12.590698+00:00","HTTPError: HTTP Error 403: Forbidden"
"48121","Denton","https://www.dentoncounty.gov/AlertCenter.aspx","https://www.dentoncounty.gov/","","https://www.county.org/content-library/maps/counties/denton-county","2026-09-11T18:48:12.814270+00:00","Reviewed"
"48123","DeWitt","https://www.co.dewitt.tx.us/page/dewitt.Notices","https://www.co.dewitt.tx.us/","","https://www.county.org/content-library/maps/counties/dewitt-county","2026-09-11T18:48:13.074607+00:00","Reviewed"
"48125","Dickens","https://www.co.dickens.tx.us/page/dickens.County.News","https://www.co.dickens.tx.us/","","https://www.county.org/content-library/maps/counties/dickens-county","2026-09-11T18:48:14.706119+00:00","Reviewed"
"48127","Dimmit","https://www.dimmitcounty.org/government/public_notices.php","https://www.dimmitcounty.org/","","https://www.county.org/content-library/maps/counties/dimmit-county","2026-09-11T18:48:15.583730+00:00","Reviewed"
"48129","Donley","https://www.co.donley.tx.us/page/Public.Notices","https://www.co.donley.tx.us/","https://www.co.donley.tx.us/page/calrss/1209/0/calendar.rss","https://www.county.org/content-library/maps/counties/donley-county","2026-09-11T18:48:16.019900+00:00","Reviewed"
"48131","Duval","https://www.co.duval.tx.us/page/duval.Public.Notices","https://www.co.duval.tx.us/","https://newtools.cira.state.tx.us/page/calrss/118418/0/calendar.rss","https://www.county.org/content-library/maps/counties/duval-county","2026-09-11T18:48:17.236528+00:00","Reviewed"
"48133","Eastland","","https://www.eastlandcounty.gov/","","https://www.county.org/content-library/maps/counties/eastland-county","2026-09-11T18:48:17.646843+00:00","Reviewed"
"48135","Ector","","https://www.ectorcountytx.gov/","","https://www.county.org/content-library/maps/counties/ector-county","2026-09-11T18:48:18.796495+00:00","Reviewed"
"48137","Edwards","https://www.co.edwards.tx.us/page/Notices","https://www.co.edwards.tx.us/","","https://www.county.org/content-library/maps/counties/edwards-county","2026-09-11T18:48:19.477690+00:00","Reviewed"
"48139","Ellis","","","","https://www.county.org/content-library/maps/counties/ellis-county","2026-09-11T18:48:23.115309+00:00","Reviewed"
"48141","El Paso","","https://www.epcounty.com/","","https://www.county.org/content-library/maps/counties/el-paso-county","2026-09-11T18:48:23.114684+00:00","Reviewed"
"48143","Erath","","https://www.co.erath.tx.us/","","https://www.county.org/content-library/maps/counties/erath-county","2026-09-11T18:48:24.801046+00:00","Reviewed"
"48145","Falls","https://www.co.falls.tx.us/page/Public.Notices.Calendar","https://www.co.falls.tx.us/","https://www.co.falls.tx.us/page/calrss/1481/0/calendar.rss","https://www.county.org/content-library/maps/counties/falls-county","2026-09-11T18:48:25.468225+00:00","Reviewed"
"48147","Fannin","https://www.co.fannin.tx.us/page/fannin.Public.Notices","https://www.co.fannin.tx.us/","","https://www.county.org/content-library/maps/counties/fannin-county","2026-09-11T18:48:27.051472+00:00","Reviewed"
"48149","Fayette","https://www.co.fayette.tx.us/page/fayette.Public.Notices","https://www.co.fayette.tx.us/","https://newtools.cira.state.tx.us/page/calrss/5755/0/calendar.rss","https://www.county.org/content-library/maps/counties/fayette-county","2026-09-11T18:48:27.568095+00:00","Reviewed"
"48151","Fisher","https://www.fishercounty.org/page/fisher.Public.Notices","https://www.fishercounty.org/","https://newtools.cira.state.tx.us/page/calrss/29598/0/calendar.rss","https://www.county.org/content-library/maps/counties/fisher-county","2026-09-11T18:48:27.765570+00:00","Reviewed"
"48153","Floyd","https://www.co.floyd.tx.us/page/floyd.Public.Notices.Calendar","https://www.co.floyd.tx.us/","https://newtools.cira.state.tx.us/page/calrss/5816/0/calendar.rss","https://www.county.org/content-library/maps/counties/floyd-county","2026-09-11T18:48:28.270543+00:00","Reviewed"
"48155","Foard","https://www.foardcounty.texas.gov/page/Public.Notices.Calendar","https://www.foardcounty.texas.gov/","https://www.foardcounty.texas.gov/page/calrss/1275/0/calendar.rss","https://www.county.org/content-library/maps/counties/foard-county","2026-09-11T18:48:28.547582+00:00","Reviewed"
"48157","Fort Bend","https://www.fortbendcountytx.gov/your-county/legal-notices","https://www.fortbendcountytx.gov/","","https://www.county.org/content-library/maps/counties/fort-bend-county","2026-09-11T18:48:28.966359+00:00","Reviewed"
"48159","Franklin","https://www.co.franklin.tx.us/page/franklin.PublicNotices","https://www.co.franklin.tx.us/","https://newtools.cira.state.tx.us/page/calrss/12826/0/calendar.rss","https://www.county.org/content-library/maps/counties/franklin-county","2026-09-11T18:48:31.988156+00:00","Reviewed"
"48161","Freestone","https://www.co.freestone.tx.us/page/freestone.PublicNotices","https://www.co.freestone.tx.us/","https://newtools.cira.state.tx.us/page/calrss/6221/0/calendar.rss","https://www.county.org/content-library/maps/counties/freestone-county","2026-09-11T18:48:34.371214+00:00","Reviewed"
"48163","Frio","","https://www.co.frio.tx.us/","","https://www.county.org/content-library/maps/counties/frio-county","2026-09-11T18:48:35.851705+00:00","Reviewed"
"48165","Gaines","https://www.co.gaines.tx.us/page/gaines.Public.Notices","https://www.co.gaines.tx.us/","https://newtools.cira.state.tx.us/page/calrss/29734/0/calendar.rss","https://www.county.org/content-library/maps/counties/gaines-county","2026-09-11T18:48:36.790345+00:00","Reviewed"
"48167","Galveston","","https://www.galvestoncountytx.gov/","","https://www.county.org/content-library/maps/counties/galveston-county","2026-09-11T18:48:38.181366+00:00","HTTPError: HTTP Error 403: Forbidden"
"48169","Garza","","https://www.garzacounty.gov/","","https://www.county.org/content-library/maps/counties/garza-county","2026-09-11T18:48:39.050809+00:00","Reviewed"
"48171","Gillespie","","https://www.gillespiecounty.gov/","","https://www.county.org/content-library/maps/counties/gillespie-county","2026-09-11T18:48:39.186147+00:00","Reviewed"
"48173","Glasscock","https://www.co.glasscock.tx.us/page/Public.Notices","https://www.co.glasscock.tx.us/","https://www.co.glasscock.tx.us/page/calrss/1578/0/calendar.rss","https://www.county.org/content-library/maps/counties/glasscock-county","2026-09-11T18:48:40.727701+00:00","Reviewed"
"48175","Goliad","https://www.co.goliad.tx.us/page/goliad.agendas","https://www.co.goliad.tx.us/","","https://www.county.org/content-library/maps/counties/goliad-county","2026-09-11T18:48:41.443564+00:00","Reviewed"
"48177","Gonzales","https://www.co.gonzales.tx.us/page/gonzales.Public.Notices","https://www.co.gonzales.tx.us/","https://newtools.cira.state.tx.us/page/calrss/28534/0/calendar.rss","https://www.county.org/content-library/maps/counties/gonzales-county","2026-09-11T18:48:42.251197+00:00","Reviewed"
"48179","Gray","https://www.co.gray.tx.us/page/gray.PublicNotice","https://www.co.gray.tx.us/","https://newtools.cira.state.tx.us/page/calrss/6339/0/calendar.rss","https://www.county.org/content-library/maps/counties/gray-county","2026-09-11T18:48:43.286490+00:00","Reviewed"
"48181","Grayson","","https://www.co.grayson.tx.us/","","https://www.county.org/content-library/maps/counties/grayson-county","2026-09-11T18:48:44.075225+00:00","Reviewed"
"48183","Gregg","https://greggcounty.texas.gov/public-notices","https://greggcounty.texas.gov/","","https://www.county.org/content-library/maps/counties/gregg-county","2026-09-11T18:48:44.875663+00:00","Reviewed"
"48185","Grimes","https://grimescountytexas.gov/public-notices","https://grimescountytexas.gov/","","https://www.county.org/content-library/maps/counties/grimes-county","2026-09-11T18:48:45.161316+00:00","Reviewed"
"48187","Guadalupe","","https://www.co.guadalupe.tx.us/","","https://www.county.org/content-library/maps/counties/guadalupe-county","2026-09-11T18:48:45.221148+00:00","Reviewed"
"48189","Hale","","https://www.halecounty.org/","","https://www.county.org/content-library/maps/counties/hale-county","2026-09-11T18:48:46.638703+00:00","Reviewed"
"48191","Hall","https://www.co.hall.tx.us/page/hall.Public.Notices","https://www.co.hall.tx.us/","","https://www.county.org/content-library/maps/counties/hall-county","2026-09-11T18:48:47.266831+00:00","Reviewed"
"48193","Hamilton","https://www.hamiltoncountytx.gov/page/hamilton.publicnotices","https://www.hamiltoncountytx.gov/","https://newtools.cira.state.tx.us/page/calrss/47920/0/calendar.rss","https://www.county.org/content-library/maps/counties/hamilton-county","2026-09-11T18:48:47.823263+00:00","Reviewed"
"48195","Hansford","https://www.co.hansford.tx.us/page/Public.Notices","https://www.co.hansford.tx.us/","https://www.co.hansford.tx.us/page/calrss/1183/0/calendar.rss","https://www.county.org/content-library/maps/counties/hansford-county","2026-09-11T18:48:48.079990+00:00","Reviewed"
"48197","Hardeman","https://www.co.hardeman.tx.us/page/hardeman.public.notices","https://www.co.hardeman.tx.us/","","https://www.county.org/content-library/maps/counties/hardeman-county","2026-09-11T18:48:48.262934+00:00","Reviewed"
"48199","Hardin","https://www.hardincountytx.gov/page/PublicNotices","https://www.hardincountytx.gov/","https://www.hardincountytx.gov/page/calrss/1428/75/calendar.rss","https://www.county.org/content-library/maps/counties/hardin-county","2026-09-11T18:48:48.772827+00:00","Reviewed"
"48201","Harris","","https://www.harriscountytx.gov/","","https://www.county.org/content-library/maps/counties/harris-county","2026-09-11T18:48:49.480381+00:00","Reviewed"
"48203","Harrison","https://www.harrisoncountytexas.gov/page/PublicNoticeInfo","https://www.harrisoncountytexas.gov/","","https://www.county.org/content-library/maps/counties/harrison-county","2026-09-11T18:48:49.657726+00:00","Reviewed"
"48205","Hartley","https://www.co.hartley.tx.us/page/hartley.County.News","https://www.co.hartley.tx.us/","","https://www.county.org/content-library/maps/counties/hartley-county","2026-09-11T18:48:49.712117+00:00","Reviewed"
"48207","Haskell","https://www.haskellcountytx.gov/page/haskell.Public.Notices","https://www.haskellcountytx.gov/","https://newtools.cira.state.tx.us/page/calrss/30553/0/calendar.rss","https://www.county.org/content-library/maps/counties/haskell-county","2026-09-11T18:48:50.507437+00:00","Reviewed"
"48209","Hays","","","","https://www.county.org/content-library/maps/counties/hays-county","2026-09-11T18:48:50.601669+00:00","URLError: <urlopen error [Errno -5] No address associated with hostname>"
"48211","Hemphill","https://www.co.hemphill.tx.us/page/hemphill.Public.Notices","https://www.co.hemphill.tx.us/","https://newtools.cira.state.tx.us/page/calrss/38783/0/calendar.rss","https://www.county.org/content-library/maps/counties/hemphill-county","2026-09-11T18:48:51.062199+00:00","Reviewed"
"48213","Henderson","","https://www.henderson-county.com/","","https://www.county.org/content-library/maps/counties/henderson-county","2026-09-11T18:48:51.266614+00:00","Reviewed"
"48215","Hidalgo","","","","https://www.county.org/content-library/maps/counties/hidalgo-county","2026-09-11T18:48:51.410671+00:00","URLError: <urlopen error [Errno -5] No address associated with hostname>"
"48217","Hill","https://www.co.hill.tx.us/page/hill.County.News","https://www.co.hill.tx.us/","","https://www.county.org/content-library/maps/counties/hill-county","2026-09-11T18:48:52.035201+00:00","Reviewed"
"48219","Hockley","https://www.co.hockley.tx.us/page/Public.Notices","https://www.co.hockley.tx.us/","https://www.co.hockley.tx.us/page/calrss/1211/0/calendar.rss","https://www.county.org/content-library/maps/counties/hockley-county","2026-09-11T18:48:52.284746+00:00","Reviewed"
"48221","Hood","","","","https://www.county.org/content-library/maps/counties/hood-county","2026-09-11T18:48:52.480865+00:00","URLError: <urlopen error timed out>"
"48223","Hopkins","https://www.hopkinscountytx.org/page/hopkins.Public.Notices.Calendar","https://www.hopkinscountytx.org/","https://newtools.cira.state.tx.us/page/calrss/9597/0/calendar.rss","https://www.county.org/content-library/maps/counties/hopkins-county","2026-09-11T18:48:52.550855+00:00","Reviewed"
"48225","Houston","https://www.co.houston.tx.us/page/houston.Public.Notices.Calendar","https://www.co.houston.tx.us/","https://newtools.cira.state.tx.us/page/calrss/29827/0/calendar.rss","https://www.county.org/content-library/maps/counties/houston-county","2026-09-11T18:48:53.515203+00:00","Reviewed"
"48227","Howard","https://www.co.howard.tx.us/1243/Public-Notices","https://www.co.howard.tx.us/","","https://www.county.org/content-library/maps/counties/howard-county","2026-09-11T18:48:53.689877+00:00","Reviewed"
"48229","Hudspeth","https://www.co.hudspeth.tx.us/page/Public%20Notices","https://www.co.hudspeth.tx.us/","https://www.co.hudspeth.tx.us/page/calrss/1493/0/calendar.rss","https://www.county.org/content-library/maps/counties/hudspeth-county","2026-09-11T18:48:54.176058+00:00","Reviewed"
"48231","Hunt","https://www.huntcounty.net/page/publicnotices","https://www.huntcounty.net/","https://www.huntcounty.net/page/calrss/2879/0/calendar.rss","https://www.county.org/content-library/maps/counties/hunt-county","2026-09-11T18:48:57.527072+00:00","Reviewed"
"48233","Hutchinson","https://www.co.hutchinson.tx.us/page/hutchinson.PublicNotices","https://www.co.hutchinson.tx.us/","","https://www.county.org/content-library/maps/counties/hutchinson-county","2026-09-11T18:49:01.736373+00:00","Reviewed"
"48235","Irion","https://www.co.irion.tx.us/1217/County-News","https://www.co.irion.tx.us/","","https://www.county.org/content-library/maps/counties/irion-county","2026-09-11T18:49:05.255187+00:00","Reviewed"
"48237","Jack","","","","https://www.county.org/content-library/maps/counties/jack-county","2026-09-11T18:49:05.301784+00:00","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:108"
"48239","Jackson","https://www.co.jackson.tx.us/page/Public.Notices.Calendar","https://www.co.jackson.tx.us/","https://www.co.jackson.tx.us/page/calrss/2575/0/calendar.rss","https://www.county.org/content-library/maps/counties/jackson-county","2026-09-11T18:49:06.762373+00:00","Reviewed"
"48241","Jasper","https://www.co.jasper.tx.us/page/Public.Notices","https://www.co.jasper.tx.us/","","https://www.county.org/content-library/maps/counties/jasper-county","2026-09-11T18:49:08.380688+00:00","Reviewed"
"48243","Jeff Davis","https://www.jeffdaviscounty.texas.gov/page/jeffdavis.Public.Notices","https://www.jeffdaviscounty.texas.gov/","https://newtools.cira.state.tx.us/page/calrss/22377/0/calendar.rss","https://www.county.org/content-library/maps/counties/jeff-davis-county","2026-09-11T18:49:09.996239+00:00","Reviewed"
"48245","Jefferson","https://jeffersoncountytx.gov/jcagenda/default.aspx","https://jeffersoncountytx.gov/","","https://www.county.org/content-library/maps/counties/jefferson-county","2026-09-11T18:49:10.024462+00:00","Reviewed official override"
"48247","Jim Hogg","https://www.co.jim-hogg.tx.us/page/jim-hogg.Public.Notice","https://www.co.jim-hogg.tx.us/","https://newtools.cira.state.tx.us/page/calrss/63465/0/calendar.rss","https://www.county.org/content-library/maps/counties/jim-hogg-county","2026-09-11T18:49:16.122524+00:00","Reviewed"
"48249","Jim Wells","https://www.co.jim-wells.tx.us/page/co.calendar","https://www.co.jim-wells.tx.us/","https://www.co.jim-wells.tx.us/page/calrss/1943/0/calendar.rss","https://www.county.org/content-library/maps/counties/jim-wells-county","2026-09-11T18:49:17.302557+00:00","Reviewed"
"48251","Johnson","","https://www.johnsoncountytx.org/","","https://www.county.org/content-library/maps/counties/johnson-county","2026-09-11T18:49:18.107770+00:00","HTTPError: HTTP Error 403: Forbidden"
"48253","Jones","https://www.co.jones.tx.us/page/jones.PublicNotices.Estrays","https://www.co.jones.tx.us/","","https://www.county.org/content-library/maps/counties/jones-county","2026-09-11T18:49:19.499849+00:00","Reviewed"
"48255","Karnes","https://www.co.karnes.tx.us/page/karnes.Public.Notices","https://www.co.karnes.tx.us/","","https://www.county.org/content-library/maps/counties/karnes-county","2026-09-11T18:49:19.800977+00:00","Reviewed"
"48257","Kaufman","","https://www.kaufmancounty.net/","","https://www.county.org/content-library/maps/counties/kaufman-county","2026-09-11T18:49:21.601702+00:00","Reviewed"
"48259","Kendall","","https://www.kendallcountytx.gov/","","https://www.county.org/content-library/maps/counties/kendall-county","2026-09-11T18:49:22.557996+00:00","Reviewed"
